iter	Weibull_scale_IR(1.1)	Weibull_scale_IR(1.2)	Weibull_scale_SR(2.1)	Weibull_scale_SR(2.2)	Weibull_scale_ER(3.1)	Weibull_slope_ER(3.1)	Weibull_scale_ER(3.2)	Weibull_slope_ER(3.2)	LnPrior	LnData	LnPosterior
0	3.76382	4.5256	4.04831	3.5181	0.520679	5.65829	4.67544	4.84576	-1.271388e+001	-6.006050e+003	-6.018764e+003
1	3.76382	3.69644	3.37205	3.5181	0.490346	1.57873	4.27067	4.84576	-1.271388e+001	-5.310668e+003	-5.323382e+003
2	3.76382	0.212619	3.37205	3.50208	0.490346	1.57873	0.635927	5.15516	-1.271388e+001	-2.235140e+003	-2.247854e+003
3	3.76382	0.212619	3.37205	3.50208	1.40172	3.84626	0.597904	4.83063	-1.271388e+001	-2.056823e+003	-2.069537e+003
4	3.02395	0.212619	3.37205	3.50208	1.40172	3.84626	1.04396	5.58763	-1.271388e+001	-1.679581e+003	-1.692295e+003
5	2.73509	0.212619	3.33395	3.50208	1.40172	5.34795	1.83229	3.74055	-1.271388e+001	-1.423569e+003	-1.436283e+003
6	2.73509	0.212619	3.33395	3.50208	1.40172	5.34795	1.83229	3.66191	-1.271388e+001	-1.422123e+003	-1.434837e+003
7	0.343801	0.212619	3.33395	3.50208	1.40172	5.34795	1.84931	3.66191	-1.271388e+001	-2.461014e+002	-2.588153e+002
8	0.343801	0.212619	2.69389	2.54442	1.40172	5.78446	1.84931	3.66191	-1.271388e+001	-2.448894e+002	-2.576033e+002
9	0.343801	0.212619	2.71447	2.54442	1.40172	5.78808	1.84931	3.66191	-1.271388e+001	-2.448885e+002	-2.576023e+002
10	0.343801	0.212619	2.71447	2.54442	1.40172	5.68835	1.84931	2.98096	-1.271388e+001	-2.401735e+002	-2.528874e+002
11	0.343801	0.212619	2.71447	2.93059	1.40172	5.68835	1.84931	3.18407	-1.271388e+001	-2.373598e+002	-2.500737e+002
12	0.343801	0.212619	2.71447	2.93059	1.40172	5.68835	2.05892	3.18407	-1.271388e+001	-2.318703e+002	-2.445842e+002
13	0.343801	0.212619	2.71447	2.93059	1.40172	5.68835	2.05892	3.18407	-1.271388e+001	-2.318703e+002	-2.445842e+002
14	0.343801	0.212619	2.71447	2.93059	1.40172	5.68835	2.05892	2.83571	-1.271388e+001	-2.273252e+002	-2.400391e+002
15	0.343801	0.212619	2.71447	2.93059	1.40172	5.50383	2.05892	2.83571	-1.271388e+001	-2.268676e+002	-2.395814e+002
16	0.343801	0.212619	2.71447	2.9879	1.40172	5.50383	2.05892	2.86132	-1.271388e+001	-2.268980e+002	-2.396118e+002
17	0.343801	0.212619	2.71447	2.93771	1.40172	5.50383	2.05892	2.94232	-1.271388e+001	-2.275863e+002	-2.403002e+002
18	0.343801	0.212619	2.71447	2.93771	1.40172	5.50383	2.05892	2.84988	-1.271388e+001	-2.269175e+002	-2.396314e+002
19	0.343801	0.212619	2.71447	2.93771	1.40172	5.50383	2.05892	2.84988	-1.271388e+001	-2.269175e+002	-2.396314e+002
20	0.343801	0.212619	2.65123	2.93771	1.40172	5.50383	2.05892	2.84988	-1.271388e+001	-2.269984e+002	-2.397123e+002
21	0.343801	0.212619	2.23115	2.93771	1.40172	5.24328	2.05892	2.84988	-1.271388e+001	-2.298152e+002	-2.425291e+002
22	0.343801	0.212619	2.23115	2.93771	1.40172	5.24328	2.05892	2.84988	-1.271388e+001	-2.298152e+002	-2.425291e+002
23	0.343801	0.212619	2.90319	2.93771	1.40172	5.24328	2.05892	2.84988	-1.271388e+001	-2.270967e+002	-2.398106e+002
